,BPS_NAME,GROUPVEG,Freq,acres
1,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,36196290,8049861
2,North-Central Interior Beech-Maple Forest,Hardwood,29387743,6535677
3,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,17263111,3839223
4,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,14317213,3184072
5,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,8879958,1974855
6,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,8665765,1927220
7,North-Central Oak Barrens,Hardwood,7078098,1574131
8,Boreal Acidic Peatland Systems,Riparian,6775877,1506919
9,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,6077506,1351605
10,Central Interior and Appalachian Floodplain Systems,Riparian,4911869,1092373
11,Laurentian Pine-Oak Barrens,Hardwood-Conifer,4695456,1044244
12,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,3450979,767479
13,Central Interior and Appalachian Swamp Systems,Riparian,3186122,708576
14,North-Central Interior Dry Oak Forest and Woodland,Hardwood,3120652,694016
15,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,2946699,655330
16,Laurentian-Acadian Floodplain Systems,Riparian,1197600,266340
17,North-Central Interior Oak Savanna,Hardwood,1075843,239262
18,Great Lakes Wet-Mesic Lakeplain Prairie,Riparian,660182,146821
19,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,616085,137014
20,Central Tallgrass Prairie,Grassland,612122,136133
21,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood ,Hardwood,457856,101825
22,Eastern Boreal Floodplain,Hardwood,426756,94908
23,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,313561,69734
24,Great Lakes Coastal Marsh Systems,Riparian,305274,67891
25,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,301620,67079
26,Great Lakes Wooded Dune and Swale,Riparian,130630,29051
27,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,104489,23238
28,North-Central Interior Wet Flatwoods,Hardwood,72872,16206
30,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,45745,10173
31,North-Central Interior Maple-Basswood Forest,Hardwood,17760,3950
32,Central Interior and Appalachian Riparian Systems,Riparian,13690,3045
33,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,12170,2707
34,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,731,163
35,Boreal Jack Pine-Black Spruce Forest,Conifer,9,2
